DATE,CPALTT01USQ661S
1970-01-01,16.0747963226266
1970-04-01,16.2998153437658
1970-07-01,16.4685796096201
1970-10-01,16.7076623195804
1971-01-01,16.8482992077924
1971-04-01,17.0029997848256
1971-07-01,17.1717640506799
1971-10-01,17.2983372500707
1972-01-01,17.4389741382826
1972-04-01,17.5514836488522
1972-07-01,17.6921205370641
1972-10-01,17.8749484917397
1973-01-01,18.1562222681636
1973-04-01,18.5359418663359
1973-07-01,18.901597775687
1973-10-01,19.3797631956076
1974-01-01,19.9563744372766
1974-04-01,20.4907946124821
1974-07-01,21.0674058541511
1974-10-01,21.7143355399261
1975-01-01,22.1784372710256
1975-04-01,22.4456473586283
1975-07-01,22.8956854009065
1975-10-01,23.3175960655424
1976-01-01,23.5848061531451
1976-04-01,23.7957614854631
1976-07-01,24.1754810836353
1976-10-01,24.5270733041652
1977-01-01,24.9771113464435
1977-04-01,25.4130856999006
1977-07-01,25.7646779204305
1977-10-01,26.1443975186027
1978-01-01,26.594435560881
1978-04-01,27.1991741801924
1978-07-01,27.8320401771462
1978-10-01,28.4789698629212
1979-01-01,29.1962179928022
1979-04-01,30.1244214550011
1979-07-01,31.0948159836636
1979-10-01,32.0792742011473
1980-01-01,33.3450061950549
1980-04-01,34.4701013007506
1980-07-01,35.1170309865256
1980-10-01,36.1014892040093
1981-01-01,37.1000111103142
1981-04-01,37.8735139954799
1981-07-01,38.9282906570696
1981-10-01,39.5611566540234
1982-01-01,39.9127488745533
1982-04-01,40.4893601162223
1982-07-01,41.1925445572821
1982-10-01,41.3191177566729
1983-01-01,41.3472451343152
1983-04-01,41.8254105542359
1983-07-01,42.2332575300506
1983-10-01,42.6551681946864
1984-01-01,43.2599068139979
1984-04-01,43.6677537898125
1984-07-01,44.0474733879848
1984-10-01,44.4271929861571
1985-01-01,44.8350399619718
1985-04-01,45.2428869377865
1985-07-01,45.5241607142104
1985-10-01,45.9882624453098
1986-01-01,46.2273451552701
1986-04-01,46.002326134131
1986-07-01,46.2835999105549
1986-10-01,46.6070647534424
1987-01-01,47.1696123062903
1987-04-01,47.7040324814957
1987-07-01,48.2103252790587
1987-10-01,48.660363321337
1988-01-01,49.0400829195093
1988-04-01,49.6026304723571
1988-07-01,50.2073690916685
1988-10-01,50.7558529556952
1989-01-01,51.3324641973642
1989-04-01,52.1622218378147
1989-07-01,52.5700688136294
1989-10-01,53.1044889888348
1990-01-01,54.0186287622126
1990-04-01,54.553048937418
1990-07-01,55.4953160884381
1990-10-01,56.4375832394582
1991-01-01,56.8594939040941
1991-04-01,57.1970224358028
1991-07-01,57.6329967892598
1991-10-01,58.1111622091805
1992-01-01,58.504945496174
1992-04-01,58.9549835384522
1992-07-01,59.4050215807305
1992-10-01,59.9253780671147
1993-01-01,60.3613524205718
1993-04-01,60.7973267740289
1993-07-01,61.0786005504528
1993-10-01,61.5848933480158
1994-01-01,61.8942945020821
1994-04-01,62.245886722612
1994-07-01,62.822497964281
1994-10-01,63.1881538736321
1995-01-01,63.6522556047316
1995-04-01,64.1726120911158
1995-07-01,64.4960769340033
1995-10-01,64.8476691545332
1996-01-01,65.4242803962022
1996-04-01,65.98682794905
1996-07-01,66.3665475472223
1996-10-01,66.9431587888914
1997-01-01,67.351005764706
1997-04-01,67.5057063417392
1997-07-01,67.8432348734479
1997-10-01,68.208890782799
1998-01-01,68.3495276710109
1998-04-01,68.57454669215
1998-07-01,68.92613891268
1998-10-01,69.2496037555674
1999-01-01,69.502750154349
1999-04-01,70.0231066407332
1999-07-01,70.5434631271175
1999-10-01,71.0638196135017
2000-01-01,71.7670040545615
2000-04-01,72.3295516074093
2000-07-01,72.9905449820055
2000-10-01,73.5109014683898
2001-01-01,74.2140859094495
2001-04-01,74.7344423958338
2001-07-01,74.9453977281517
2001-10-01,74.8891429728669
2002-01-01,75.1282256828272
2002-04-01,75.7189006133174
2002-07-01,76.1267475891321
2002-10-01,76.5767856314104
2003-01-01,77.3643522053974
2003-04-01,77.2377790060066
2003-07-01,77.8143902476756
2003-10-01,78.1097277129207
2004-01-01,78.7707210875169
2004-04-01,79.3895233956495
2004-07-01,79.8958161932126
2004-10-01,80.7537012113055
2005-01-01,81.1615481871202
2005-04-01,81.7100320511468
2005-07-01,82.947636667412
2005-10-01,83.7211395525778
2006-01-01,84.1571139060348
2006-04-01,84.9165531023794
2006-07-01,85.7181833651876
2006-10-01,85.3665911446577
2007-01-01,86.203521266407
2007-04-01,87.1798225443744
2007-07-01,87.7316816937182
2007-10-01,88.807835162316
2008-01-01,89.7697914776858
2008-04-01,90.9376401973979
2008-07-01,92.3397899728711
2008-10-01,90.2250330848279
2009-01-01,89.6044024971486
2009-04-01,90.0808802744107
2009-07-01,90.8559301653468
2009-10-01,91.5672715459228
2010-01-01,91.7124088145576
2010-04-01,91.6800623302688
2010-07-01,91.9488194236419
2010-10-01,92.693351109836
2011-01-01,93.6825909815189
2011-04-01,94.7477747728362
2011-07-01,95.3655926227514
2011-10-01,95.7936913104686
2012-01-01,96.3331744136496
2012-04-01,96.5365353540041
2012-07-01,96.972369070573
2012-10-01,97.6171892030248
2013-01-01,98.0095661211362
2013-04-01,97.9022601754304
2013-07-01,98.4317580595484
2013-10-01,98.795726326241
2014-01-01,99.4110127121683
2014-04-01,99.938963590516
2014-07-01,100.194641453285
2014-10-01,99.9457141611502
2015-01-01,99.2987844753752
2015-04-01,99.9759510921157
2015-07-01,100.353561136965
2015-10-01,100.345966745001
2016-01-01,100.283664603524
2016-04-01,101.085716776996
2016-07-01,101.514799922931
2016-10-01,102.159198144718
2017-01-01,102.841849600099
2017-04-01,103.025099465439
2017-07-01,103.513812651976
2017-10-01,104.320365205871
2018-01-01,105.13141814019
2018-04-01,105.788895592581
2018-07-01,106.217838101627
2018-10-01,106.63285755874
2019-01-01,106.821732899609
2019-04-01,107.744732796944
2019-07-01,108.089996357505
2019-10-01,108.793743346117
2020-01-01,109.063906808372
2020-04-01,108.208271980491
2020-07-01,109.45262716739
2020-10-01,110.111510988663
2021-01-01,111.129159511765
2021-04-01,113.404523726146
2021-07-01,115.2399757542
2021-10-01,117.543748620001
