DATE,LRUN64TTUSQ156S
1970-01-01,4.15829554557464
1970-04-01,4.76920339362229
1970-07-01,5.32940180911868
1970-10-01,5.89678421039312
1971-01-01,5.97965307535548
1971-04-01,5.98576375012173
1971-07-01,6.14186069030741
1971-10-01,6.04670202492005
1972-01-01,5.8522170316295
1972-04-01,5.75383643871897
1972-07-01,5.70644615286517
1972-10-01,5.37004900620945
1973-01-01,5.02798299067606
1973-04-01,4.99520722240835
1973-07-01,4.9146968529583
1973-10-01,4.83342924580383
1974-01-01,5.14129173161167
1974-04-01,5.25461946958602
1974-07-01,5.72675973127647
1974-10-01,6.67850012838898
1975-01-01,8.38145961275364
1975-04-01,8.91658218562742
1975-07-01,8.5879754423203
1975-10-01,8.38554552410012
1976-01-01,7.85037205034139
1976-04-01,7.59956960638233
1976-07-01,7.79974807962204
1976-10-01,7.87456736666205
1977-01-01,7.61271854706051
1977-04-01,7.16056643443881
1977-07-01,6.97129073375094
1977-10-01,6.70043294493655
1978-01-01,6.38698375459368
1978-04-01,6.02917412664833
1978-07-01,6.09909360916192
1978-10-01,5.97659266721804
1979-01-01,5.92002937687081
1979-04-01,5.77943291098435
1979-07-01,5.96006559520134
1979-10-01,6.05578262942329
1980-01-01,6.37399709565744
1980-04-01,7.41402783087177
1980-07-01,7.79776734244151
1980-10-01,7.58451551832605
1981-01-01,7.52104863294937
1981-04-01,7.51440790078798
1981-07-01,7.55346013171917
1981-10-01,8.44780035040039
1982-01-01,8.97983752825915
1982-04-01,9.6288628070298
1982-07-01,10.102091908846
1982-10-01,10.917523826189
1983-01-01,10.5669074198181
1983-04-01,10.3082176378541
1983-07-01,9.47851760902925
1983-10-01,8.73615361089771
1984-01-01,7.98181261445441
1984-04-01,7.61660084813904
1984-07-01,7.54668408212897
1984-10-01,7.41204172289001
1985-01-01,7.38071964543255
1985-04-01,7.39680833003037
1985-07-01,7.29977341821613
1985-10-01,7.17894602713745
1986-01-01,7.11486465997562
1986-04-01,7.29473661448537
1986-07-01,7.07772192727866
1986-10-01,6.9530062864909
1987-01-01,6.7261416055136
1987-04-01,6.39789568629234
1987-07-01,6.09579786711543
1987-10-01,5.95692644600796
1988-01-01,5.80484791809902
1988-04-01,5.57532483970125
1988-07-01,5.56244199923002
1988-10-01,5.42631764595329
1989-01-01,5.27622204845462
1989-04-01,5.32584474414306
1989-07-01,5.34481212833671
1989-10-01,5.44080567146893
1990-01-01,5.39692776221516
1990-04-01,5.44889361251412
1990-07-01,5.74729427043762
1990-10-01,6.1865250051207
1991-01-01,6.7036928840472
1991-04-01,6.94288837876104
1991-07-01,6.92464961679449
1991-10-01,7.21605965155409
1992-01-01,7.5143479600414
1992-04-01,7.67496180785062
1992-07-01,7.71811634323256
1992-10-01,7.56027446453532
1993-01-01,7.2503826415524
1993-04-01,7.18715038408313
1993-07-01,6.90620758413493
1993-10-01,6.76330403319402
1994-01-01,6.64503001777233
1994-04-01,6.25698518686032
1994-07-01,6.06133731703165
1994-10-01,5.66964491364352
1995-01-01,5.52082636293815
1995-04-01,5.74565085335539
1995-07-01,5.71759684985196
1995-10-01,5.62693909701169
1996-01-01,5.61184298277756
1996-04-01,5.53735924221382
1996-07-01,5.33091158204984
1996-10-01,5.35171983401015
1997-01-01,5.29873026852316
1997-04-01,5.0433548164028
1997-07-01,4.91107765432151
1997-10-01,4.7060524323308
1998-01-01,4.72285159189687
1998-04-01,4.47246422414231
1998-07-01,4.57445580423378
1998-10-01,4.42519762713881
1999-01-01,4.33958012351718
1999-04-01,4.29105772316577
1999-07-01,4.27345396242516
1999-10-01,4.10423318033847
2000-01-01,4.08793117076223
2000-04-01,3.98467931432324
2000-07-01,4.05825753171121
2000-10-01,3.9493319993607
2001-01-01,4.29274502573239
2001-04-01,4.49056957190312
2001-07-01,4.86604165840264
2001-10-01,5.5944920927867
2002-01-01,5.80533428707885
2002-04-01,5.9155988077216
2002-07-01,5.77651196102723
2002-10-01,5.93780213833752
2003-01-01,5.95668394514591
2003-04-01,6.22824398179936
2003-07-01,6.15094862995018
2003-10-01,5.93554424273127
2004-01-01,5.77493565692487
2004-04-01,5.6527531269572
2004-07-01,5.48456294654365
2004-10-01,5.48374871541414
2005-01-01,5.33733992115188
2005-04-01,5.17733873263163
2005-07-01,5.03148449595815
2005-10-01,5.02344667028681
2006-01-01,4.79307326589604
2006-04-01,4.74624372633549
2006-07-01,4.70570868581016
2006-10-01,4.51463739318341
2007-01-01,4.57603728043826
2007-04-01,4.56456211763058
2007-07-01,4.7213604108216
2007-10-01,4.86384810528115
2008-01-01,5.01400972376009
2008-04-01,5.41293318449475
2008-07-01,6.10608627781927
2008-10-01,6.99240022853861
2009-01-01,8.4042000374014
2009-04-01,9.39876700615997
2009-07-01,9.74460119305104
2009-10-01,10.1067020581358
2010-01-01,9.96143541187609
2010-04-01,9.83424700286584
2010-07-01,9.60624080805086
2010-10-01,9.71486162775234
2011-01-01,9.1632000205372
2011-04-01,9.2162641105567
2011-07-01,9.12237886130454
2011-10-01,8.81577694828711
2012-01-01,8.34741413637086
2012-04-01,8.27734998312628
2012-07-01,8.11416047515619
2012-10-01,7.98219821511261
2013-01-01,7.78365070512183
2013-04-01,7.67605810474527
2013-07-01,7.41306870143802
2013-10-01,7.12366933163228
2014-01-01,6.72818765449459
2014-04-01,6.29852007091256
2014-07-01,6.17048848649858
2014-10-01,5.83280733958302
2015-01-01,5.6045445059699
2015-04-01,5.51134017368689
2015-07-01,5.19898948737465
2015-10-01,5.17143783020436
2016-01-01,4.99813327047051
2016-04-01,4.97209112023617
2016-07-01,4.96428392374618
2016-10-01,4.84519494413246
2017-01-01,4.64141620058656
2017-04-01,4.38986573207678
2017-07-01,4.39544703088722
2017-10-01,4.19558207787316
2018-01-01,4.12789318266818
2018-04-01,3.94936629712241
2018-07-01,3.81269814573255
2018-10-01,3.85924839532883
2019-01-01,3.91336090482806
2019-04-01,3.63199486118577
2019-07-01,3.68946845104683
2019-10-01,3.62570421083264
2020-01-01,3.92010157500229
2020-04-01,13.1828088256609
2020-07-01,8.74092961509123
2020-10-01,7.0363063705013
2021-01-01,6.23711351087518
2021-04-01,5.91290583572925
2021-07-01,5.12342618835671
2021-10-01,4.30420562890998
