DATE,INFCPI10YR,INFPGDP1YR
1970-04-01,0,2.9851
1970-07-01,0,3.7037
1970-10-01,0,3.5414
1971-01-01,0,3.5303
1971-04-01,0,3.4164
1971-07-01,0,3.1359
1971-10-01,0,3.4194
1972-01-01,0,3.5392
1972-04-01,0,3.3858
1972-07-01,0,3.6128
1972-10-01,0,3.6999
1973-01-01,0,3.7609
1973-04-01,0,3.7723
1973-07-01,0,4.0999
1973-10-01,0,5.3651
1974-01-01,0,5.6522
1974-04-01,0,5.6126
1974-07-01,0,6.647
1974-10-01,0,7.6814
1975-01-01,0,7.2412
1975-04-01,0,5.5917
1975-07-01,0,5.9454
1975-10-01,0,6.2087
1976-01-01,0,6.1832
1976-04-01,0,5.9002
1976-07-01,0,6.055
1976-10-01,0,5.729
1977-01-01,0,5.644
1977-04-01,0,6.2678
1977-07-01,0,5.8989
1977-10-01,0,5.9557
1978-01-01,0,5.9044
1978-04-01,0,6.5327
1978-07-01,0,6.9055
1978-10-01,0,7.0927
1979-01-01,0,7.3262
1979-04-01,0,7.9278
1979-07-01,0,8.0251
1979-10-01,0,8.1871
1980-01-01,0,8.6957
1980-04-01,0,8.8416
1980-07-01,0,8.934
1980-10-01,0,9.3725
1981-01-01,0,9.0619
1981-04-01,0,8.6787
1981-07-01,0,7.8029
1981-10-01,0,7.5188
1982-01-01,0,7.0197
1982-04-01,0,6.2378
1982-07-01,0,5.8739
1982-10-01,0,5.5898
1983-01-01,0,5.0012
1983-04-01,0,4.8237
1983-07-01,0,4.9494
1983-10-01,0,5.5327
1984-01-01,0,4.9774
1984-04-01,0,5.3812
1984-07-01,0,4.746
1984-10-01,0,4.4131
1985-01-01,0,3.993
1985-04-01,0,4.329
1985-07-01,0,4.2132
1985-10-01,0,3.9744
1986-01-01,0,3.3333
1986-04-01,0,3.1524
1986-07-01,0,2.6155
1986-10-01,0,3.1115
1987-01-01,0,3.7037
1987-04-01,0,3.9182
1987-07-01,0,4.142
1987-10-01,0,3.6195
1988-01-01,0,3.761
1988-04-01,0,3.9435
1988-07-01,0,4.1838
1988-10-01,0,4.3689
1989-01-01,0,4.5564
1989-04-01,0,4.5777
1989-07-01,0,4.3205
1989-10-01,0,3.9844
1990-01-01,0,4.0217
1990-04-01,0,3.8168
1990-07-01,0,4.384
1990-10-01,0,4.2649
1991-01-01,0,3.4944
1991-04-01,0,3.3824
1991-07-01,0,3.3528
1991-10-01,4,3.193
1992-01-01,3.7,3.2498
1992-04-01,3.9,3.1074
1992-07-01,3.75,2.7909
1992-10-01,3.6,2.7066
1993-01-01,3.5,2.7802
1993-04-01,3.7,2.7558
1993-07-01,3.45,3.0522
1993-10-01,3.45,2.8332
1994-01-01,3.45,2.7631
1994-04-01,3.5,2.8924
1994-07-01,3.5,3.0517
1994-10-01,3.5,3.1029
1995-01-01,3.3,2.8929
1995-04-01,3.35,2.9362
1995-07-01,3.2,2.5677
1995-10-01,3,2.3505
1996-01-01,3,2.3623
1996-04-01,3,2.5023
1996-07-01,3,2.505
1996-10-01,3,2.565
1997-01-01,3,2.5782
1997-04-01,2.85,2.423
1997-07-01,3,2.455
1997-10-01,2.65,2.2968
1998-01-01,2.6,2.2338
1998-04-01,2.5,2.0483
1998-07-01,2.5,2.0345
1998-10-01,2.5,1.8525
1999-01-01,2.3,1.5446
1999-04-01,2.5,1.7405
1999-07-01,2.5,1.8675
1999-10-01,2.5,1.813
2000-01-01,2.5,1.9881
2000-04-01,2.5,2.215
2000-07-01,2.5,2.3743
2000-10-01,2.5,2.2595
2001-01-01,2.5,2.1218
2001-04-01,2.5,2.0696
2001-07-01,2.5,2.0891
2001-10-01,2.55,1.7377
2002-01-01,2.5,1.7832
2002-04-01,2.5,1.9281
2002-07-01,2.5,1.8936
2002-10-01,2.45,1.9253
2003-01-01,2.5,1.8409
2003-04-01,2.5,1.7748
2003-07-01,2.5,1.7226
2003-10-01,2.5,1.7551
2004-01-01,2.5,1.5686
2004-04-01,2.5,1.8331
2004-07-01,2.5,2.1528
2004-10-01,2.5,1.9992
2005-01-01,2.45,1.9775
2005-04-01,2.5,2.2313
2005-07-01,2.5,2.2452
2005-10-01,2.5,2.1876
2006-01-01,2.5,2.1911
2006-04-01,2.5,2.2606
2006-07-01,2.5,2.3919
2006-10-01,2.5,2.2698
2007-01-01,2.35,2.1312
2007-04-01,2.4,2.2922
2007-07-01,2.4,2.2673
2007-10-01,2.4,2.2425
2008-01-01,2.5,2.2445
2008-04-01,2.5,2.3917
2008-07-01,2.5,2.2277
2008-10-01,2.5,1.9411
2009-01-01,2.4,1.253
2009-04-01,2.5,1.4694
2009-07-01,2.5,1.4576
2009-10-01,2.2627,1.4816
2010-01-01,2.39,1.5317
2010-04-01,2.4,1.6558
2010-07-01,2.3,1.5026
2010-10-01,2.2,1.522
2011-01-01,2.3,1.5032
2011-04-01,2.4,1.773
2011-07-01,2.4,1.8874
2011-10-01,2.5,1.9302
2012-01-01,2.3,1.7483
2012-04-01,2.48,1.9376
2012-07-01,2.35,1.8588
2012-10-01,2.3,1.9932
2013-01-01,2.3,1.9263
2013-04-01,2.3,1.8684
2013-07-01,2.205,1.8131
2013-10-01,2.3,1.8067
2014-01-01,2.3,1.8392
2014-04-01,2.25,1.8751
2014-07-01,2.2,1.966
2014-10-01,2.2,1.8654
2015-01-01,2.1,1.7707
2015-04-01,2.135,1.8144
2015-07-01,2.15,1.7656
2015-10-01,2.15,1.8526
2016-01-01,2.12,1.8085
2016-04-01,2.2,1.8686
2016-07-01,2.15,1.8892
2016-10-01,2.2161,1.9402
2017-01-01,2.3,2.1025
2017-04-01,2.3,2.0102
2017-07-01,2.25,1.9432
2017-10-01,2.2,1.998
2018-01-01,2.25,2.0365
2018-04-01,2.3,2.1011
2018-07-01,2.2,2.2249
2018-10-01,2.21,2.2151
2019-01-01,2.2,2.1038
2019-04-01,2.2,2.0131
2019-07-01,2.2,1.9787
2019-10-01,2.2,1.9405
2020-01-01,2.2,1.9268
2020-04-01,2.135,1.3731
2020-07-01,2.03,1.5176
2020-10-01,2.12,1.872
2021-01-01,2.2,1.9533
2021-04-01,2.3,2.3091
2021-07-01,2.4367,2.2512
2021-10-01,2.55,2.5708
